m49code,region
50,4 Upazillas of Chapai Nowabgonj and 2 Upazillas of Rajshahi.
50,"Baneshar Bazar assesmble market of Rajshahi district. In contrast, the losses were lower in the surveyed markets of Chapai Nowabgonj,"
50,"Chapai Nowabgonj, Dhaka and Mymensingh"
50,Punjab
50,Uttar Pradesh
504,
504,Saiss
504,"Tafilalet, Draa"
504,Taounate
504,Midelt
504,"Ait Baamrane, Rhamna"
504,Settat
504,Processing unit in Mekn?s
504,Tadla
504,Casablanca
504,Meknes
504,CAM Ben Slimane
504,Bensilmane
504,Processing unit in Casablanca
504,Silo at the port of Casablanca
504,CAM Meknes
504,Tedla
508,
508,Manica and Zambezia Provinces
51,
512,
516,
524,
524,Kosi Zone in the Eastern Hills
524,"Birgunj, Nepal to Patna"
524,"Bhairahwa, Nepal to Gorakhpur, India"
524,"Birtamod, Nepal to Silguri, India"
524,"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India"
524,"Kapurkot, Shalyan, Nepal to Sitapur market Lucknow, India"
524,Syangja (mid hills) to Butwal (markets in the plains)
524,Jumla to Nepalgunj.
524,from Jumla
524,Jumla
524,"Kathmandu from Kapurkot, Salyan (western hills) and Lal Bandi, Sarlahi (Terai)"
524,Dhankuta to Kathmandu by bus
524,Dhankuta to Kathmandu
524,Tibet and Bangladesh
524,Marpha to Pokhara
524,Budhimorang and Khuaphok
524,"Dhankuta District,"
524,Bhirgaon
524,Chhintang
524,Dhankuta District
524,Maunabudhuk
524,"Krishi Bazar, Dharan"
524,Khoku
524,Dhankuta
524,Krishi Bazar
53,
554,Fiji Export Market
554,
558,
562,
562,Niamey
566,-
566,
566,"Mokwa, Lokoja (Guinea savanna), Onitsha and Aba (forest) area"
566,Northern
566,Abavo
566,"Rivers State A(Degema, Bonny, Port Harcourt); B(tai, omuma, oyigboo); C(ahoada West, Emohua)"
566,Kogi and Niger lowlands
566,Ogun state
578,
586,
586,Northern Areas
586,Northern region
586,"Balochistan - Quetta, Pishin and Mastung districts"
586,Punjab
586,Sindh
586,Sargodha
591,
591,Chiriqui
600,
604,
604,Assam
604,Selva and Coast Region
604,Lima
604,Junin and Ayacucho
608,
608,"Mindanao, Philippines"
608,"grown in Tupi, South Cotabato, in Mindanao, and distributed in various supermarkets in Metro Manila"
608,Laguna
608,Nueva
608,Calabarzon
608,"Orani, Bataan"
608,Oriental Mindoro
608,Blumentritt
608,Bataan
608,Divisoria
624,
626,
626,Baucau
646,
659,
662,
68,
682,
686,
686,Bambey
686,Louga
688,
694,
704,
706,
710,
716,
716,Mbire District
716,Guruve District
716,Guruwe District
72,
728,
729,
748,
752,
756,
76,
760,
764,
768,
780,
788,
788,Bizerte and Siliana
788,Siliana
788,Bizerte
792,
800,
800,Apac Districy
800,Lira District
800,Apac and Lira districts
800,Apac District
800,Apac and Lira districts (2015)
800,Oyam district
804,
818,
818,Upper
818,Sharkia and Nubaria
818,Nubaria
826,
834,
834,Kariakoo Central Market
834,Mkuyuni ward in Morogoro region
834,Dodoma and Manyara
834,"Chalinze, Lugoba and Kiwangwa"
834,Morogoro
834,Kiteto District
834,Kilosa and Kondoa Districts
834,Mbozi district
84,
840,
854,
858,
862,
894,"Chivuna,  Chalimbana,"
894,
